"Year","Area","Street","Street.2"
2011,"Birmingham","Acocksgreen",""
2011,"Birmingham","str.Adderlystreet",""
2011,"Birmingham","Alcesterraod Mosley",""
2011,"Birmingham","road.Alcesterroad",""
2011,"Birmingham","road.Alcesterroadmoseley",""
2011,"Birmingham","road.Alcesterroadmoseley",""
2011,"Birmingham","str.Alfredstreet",""
2011,"Birmingham","Allserviceclub Mosley",""
2011,"Birmingham","road.Alumrockroad",""
2011,"Birmingham","road.Alumrockroad",""
2011,"Birmingham","road.Alumrockroad",""
2011,"Birmingham","road.Alumrockroad",""
2011,"Birmingham","Arcadiancentre",""
2011,"Birmingham","road.Ardenroad Saltley",""
2011,"Birmingham","Asda Chemsleywood",""
2011,"Birmingham","road.Balsahllheathpark J Wbrightonroad",""
2011,"Birmingham","road.Bamfordroad",""
2011,"Birmingham","road.Bamfordroad",""
2011,"Birmingham","ave.Beechbrookavenuesparkhill",""
2011,"Birmingham","lane.Belcherslane",""
2011,"Birmingham","lane.Belcherslane",""
2011,"Birmingham","lane.Belcherslane",""
2011,"Birmingham","lane.Belcherslane Bordesleygreen",""
2011,"Birmingham","str.Bellstreet",""
2011,"Birmingham","Berkleyrdeast Haymills ",""
2011,"Birmingham","Birminghamairport",""
2011,"Birmingham","sta.Birminghaminternationalrailwaystation",""
2011,"Birmingham","Bordesleygreen",""
2011,"Birmingham","Bordesleygreen Bordesleygreen ",""
2011,"Birmingham","road.Bristolroad",""
2011,"Birmingham","str.Bristolstreet",""
2011,"Birmingham","str.Broadstreet",""
2011,"Birmingham","str.Broadstreet",""
2011,"Birmingham","str.Broadstreetbirmingham",""
2011,"Birmingham","lane.Bucklandendlaneshardend",""
2011,"Birmingham","Bullsheadph Stmarysrow",""
2011,"Birmingham","road.Bushburyroad Kittsgreen",""
2011,"Birmingham","road.Charticeroad",""
2011,"Birmingham","road.Chestnutroad",""
2011,"Birmingham","Churchrd Stechford",""
2011,"Birmingham","road.Churchroad Sheldon",""
2011,"Birmingham","Cliffordrddorridge ",""
2011,"Birmingham","lane.Clocklane",""
2011,"Birmingham","road.Colonialroad Bordesleygreen ",""
2011,"Birmingham","Corporationst Birmingham",""
2011,"Birmingham","str.Corporationstreet",""
2011,"Birmingham","Coventryrdsmallheath",""
2011,"Birmingham","Coventryrd Smallheath Bham",""
2011,"Birmingham","road.Coventryroad",""
2011,"Birmingham","road.Coventryroad",""
2011,"Birmingham","road.Coventryroad",""
2011,"Birmingham","road.Coventryroad",""
2011,"Birmingham","road.Coventryroad",""
2011,"Birmingham","road.Coventryroad Smallheath",""
2011,"Birmingham","road.Coventryroad Smallheath",""
2011,"Birmingham","road.Coventryroad Smallheath",""
2011,"Birmingham","road.Cranesparkroad",""
2011,"Birmingham","road.Cranesparkroadsheldon",""
2011,"Birmingham","road.Crossfieldroad",""
2011,"Birmingham","road.Crossfieldsroadkittsgreen",""
2011,"Birmingham","Cxhurchrd Stechford Bham",""
2011,"Birmingham","str.Digbethhighstreet",""
2011,"Birmingham","road.Edgbastonroad",""
2011,"Birmingham","road.Edwardroad Moseley",""
2011,"Birmingham","Fightingcoxph",""
2011,"Birmingham","road.Foremansroad Sparkhill",""
2011,"Birmingham","Frontoffice Kingsheath",""
2011,"Birmingham","road.Garrettsgreenroad Garrettsgreen",""
2011,"Birmingham","Gilesclose",""
2011,"Birmingham","Gilesclose Stechford",""
2011,"Birmingham","road.Glazedaleroad",""
2011,"Birmingham","road.Gospelfarmroad",""
2011,"Birmingham","road.Gospelfarmroad",""
2011,"Birmingham","lane.Gospellane",""
2011,"Birmingham","lane.Gospellane",""
2011,"Birmingham","lane.Gospellane",""
2011,"Birmingham","lane.Gospellane Acocksgreen",""
2011,"Birmingham","Gracechurch Suttoncoldfield",""
2011,"Birmingham","str.Greathamptonstreet",""
2011,"Birmingham","lane.Greenlane",""
2011,"Birmingham","lane.Greswelllaneshardend",""
2011,"Birmingham","Harlequindrive Mosley",""
2011,"Birmingham","road.Haslucksgreenroad",""
2011,"Birmingham","road.Hazeldeanroad",""
2011,"Birmingham","Heartlandshospital",""
2011,"Birmingham","Heartlandshospital",""
2011,"Birmingham","Heartlandshospitala&E ",""
2011,"Birmingham","Heartlandshospitala&E ",""
2011,"Birmingham","Heartlandshospitala&E ",""
2011,"Birmingham","Hepbengrove",""
2011,"Birmingham","road.Herrickroad",""
2011,"Birmingham","road.Herrickroad Washwoodheath",""
2011,"Birmingham","road.Herrickroad Washwoodheath",""
2011,"Birmingham","Highstsolihull",""
2011,"Birmingham","str.Highstreetkingsheath",""
2011,"Birmingham","str.Highstreetkingsheath",""
2011,"Birmingham","str.Highstreet Kingsheath",""
2011,"Birmingham","road.Hobmoorroadatstarbankroad",""
2011,"Birmingham","Hollowayheadbhamcitycentre",""
2011,"Birmingham","road.Hollywellroad",""
2011,"Birmingham","Homeaddress",""
2011,"Birmingham","Homeaddress",""
2011,"Birmingham","str.Homerstreet",""
2011,"Birmingham","Huntersmoonpublichouse ",""
2011,"Birmingham","str.Hurststreet",""
2011,"Birmingham","str.Hurststreet",""
2011,"Birmingham","str.Hurststreet",""
2011,"Birmingham","str.Hurststreet Birmingham",""
2011,"Birmingham","str.Kingsheathhighstreet",""
2011,"Birmingham","Knowlerd Smallheath Bham",""
2011,"Birmingham","road.Ladypoolroad",""
2011,"Birmingham","road.Ladypoolroad",""
2011,"Birmingham","Ladywellwalk",""
2011,"Birmingham","Leahallrd",""
2011,"Birmingham","Leahallrd",""
2011,"Birmingham","Leavillage Stechford",""
2011,"Birmingham","Lenchesclose Mosley",""
2011,"Birmingham","road.Limetreeroad",""
2011,"Birmingham","road.Lodelane Hermitageroad",""
2011,"Birmingham","str.Longstreet",""
2011,"Birmingham","str.Longstreet Sparkhill",""
2011,"Birmingham","lane.Longbridgelane",""
2011,"Birmingham","Longmeadowcrescentshardend Bham",""
2011,"Birmingham","lane.Maccadownlane",""
2011,"Birmingham","lane.Masshouselane",""
2011,"Birmingham","Meadwaymstechford",""
2011,"Birmingham","road.Mickleoverroad Bromford",""
2011,"Birmingham","road.Moorcroftroad",""
2011,"Birmingham","road.Moseleyroad",""
2011,"Birmingham","road.Moseleyroad",""
2011,"Birmingham","road.Moseleyroad",""
2011,"Birmingham","road.Moseleyroad",""
2011,"Birmingham","Moseleyvillage",""
2011,"Birmingham","Moseleyvillage",""
2011,"Birmingham","road.Moseleyvillage Alcesterroad",""
2011,"Birmingham","road.Mosleyallservicesclub Churchroad Moseley ",""
2011,"Birmingham","Nearlandsclosequinton",""
2011,"Birmingham","str.Newstreet",""
2011,"Birmingham","str.Northfieldhighstreet",""
2011,"Birmingham","road.O Sbehans Highfieldroad Billesley",""
2011,"Birmingham","O Sthejunction Mosleyvillage",""
2011,"Birmingham","road.O Swashwoodheathroad",""
2011,"Birmingham","road.Oakhillroad Acocksgreen",""
2011,"Birmingham","lane.Oppwhitehartlanecookslane",""
2011,"Birmingham","road.Opposite Aldi Stratfordroad",""
2011,"Birmingham","road.Outsidejavaloungealcesterroad",""
2011,"Birmingham","Outsideo2academynightclubb Hamcitycentre",""
2011,"Birmingham","Outsideravenpublichouse",""
2011,"Birmingham","ave.Packingtonavenue Shardend",""
2011,"Birmingham","road.Parkoffhobmoorroad",""
2011,"Birmingham","prk.Parkhallcroft",""
2011,"Birmingham","Peartreeph",""
2011,"Birmingham","sta.Policestation",""
2011,"Birmingham","sta.Policestationstechford",""
2011,"Birmingham","road.Poplarroad",""
2011,"Birmingham","road.Poplarroad",""
2011,"Birmingham","road.Poplarroad Solihull",""
2011,"Birmingham","road.Poplarroad Solihull",""
2011,"Birmingham","road.Prestonroad",""
2011,"Birmingham","road.Prioryroad Hallgreen",""
2011,"Birmingham","road.Prospectroad",""
2011,"Birmingham","road.Queenswoodroad",""
2011,"Birmingham","str.Rearofboots Highstreet",""
2011,"Birmingham","lane.Reddingslane Tsyley",""
2011,"Birmingham","road.Richmondprimarycarecentre Richmondroad Stechford",""
2011,"Birmingham","road.Ringroad Stourbridge",""
2011,"Birmingham","road.Sainsburys Wawrickroad",""
2011,"Birmingham","road.Sainsburys Alcesterroadsouth",""
2011,"Birmingham","road.Sandfordroadmoseley",""
2011,"Birmingham","Sareholemill",""
2011,"Birmingham","road.Sedgemereroad",""
2011,"Birmingham","road.Shirleyroad",""
2011,"Birmingham","road.Shirleyroad",""
2011,"Birmingham","Snowhill",""
2011,"Birmingham","lane.Solihulllane",""
2011,"Birmingham","road.Stmary Sroad Moseley",""
2011,"Birmingham","Stmarysrow",""
2011,"Birmingham","road.Stationroad",""
2011,"Birmingham","sta.Stationway Birminghaminternationalrailstation",""
2011,"Birmingham","Stechfordfrontoffice",""
2011,"Birmingham","Stechfordp S ",""
2011,"Birmingham","prk.Stechfordretailpark ",""
2011,"Birmingham","Stonehengecroftdruidsheath",""
2011,"Birmingham","lane.Stoneylane",""
2011,"Birmingham","lane.Stoneylane",""
2011,"Birmingham","lane.Stoneylane",""
2011,"Birmingham","prk.Stratfordheath Sparkhill Birmingham",""
2011,"Birmingham","road.Stratfordroad",""
2011,"Birmingham","road.Stratfordroad",""
2011,"Birmingham","road.Stratfordroad",""
2011,"Birmingham","road.Stratfordroad Hallgreen",""
2011,"Birmingham","road.Stratfordroads",""
2011,"Birmingham","road.Stuartroad Stechford",""
2011,"Birmingham","str.Talbortstreet",""
2011,"Birmingham","road.Tauntonroad",""
2011,"Birmingham","road.Tavistockroad",""
2011,"Birmingham","ave.Theavenue",""
2011,"Birmingham","Thepaertreepub",""
2011,"Birmingham","road.Trafalgerroad",""
2011,"Birmingham","road.Wakegreenroad",""
2011,"Birmingham","road.Wardendroad",""
2011,"Birmingham","road.Warwickroad",""
2011,"Birmingham","road.Warwickroad",""
2011,"Birmingham","road.Warwickroad",""
2011,"Birmingham","road.Warwickroad",""
2011,"Birmingham","road.Warwickroad",""
2011,"Birmingham","road.Warwickroadtysley",""
2011,"Birmingham","lane.Washlane",""
2011,"Birmingham","road.Washfordheathroad",""
2011,"Birmingham","Washwoodheathpub",""
2011,"Birmingham","Washwoodheathrd Washwoodheath Bham",""
2011,"Birmingham","road.Washwoodheathroad",""
2011,"Birmingham","road.Washwoodheathroad",""
2011,"Birmingham","road.Washwoodheathroad",""
2011,"Birmingham","road.Washwoodheathroad",""
2011,"Birmingham","lane.Waterylanemiddleway Birmingham",""
2011,"Birmingham","road.Wawrickroad",""
2011,"Birmingham","road.Welshfarmroad Quinton",""
2011,"Birmingham","road.Westleyroad",""
2011,"Birmingham","road.Westleyroad Acocksgreen",""
2011,"Birmingham","Whitehartpublichouse",""
2011,"Birmingham","Whitehartpublichouse",""
2011,"Birmingham","lane.Whiteheartpub Gresselllane",""
2011,"Birmingham","road.Williamhillbookmakers Washwoodheathroad",""
2011,"Birmingham","road.Williamhillbookmakers Washwoodheathroad",""
2011,"Birmingham","road.Williamhillwashwoodheathroad",""
2011,"Birmingham","road.Windwardroad",""
2011,"Birmingham","road.Windwardroad",""
2011,"Birmingham","road.Woodendroad Erdington",""
2011,"Birmingham","road.Woodbridgeroad Moseley",""
2011,"Birmingham","str.Wrightstreet",""
2011,"Birmingham","road.Yardleygreenroad",""
2011,"Birmingham","road.Yardleyroadacocksgreen",""
2011,"Birmingham","road.Yardleywoodroad",""
2011,"Birmingham","road.Yardleywoodroad",""
2011,"Birmingham","prk.Yewtreecarpark",""
2011,"Birmingham","lane.Yewtreelane",""
2011,"Birmingham","prk.Yewtreepublichousecarpark ",""
2011,"Birmingham","road.Armadapub Sladeroad Erdington Birmingham",""
2011,"Birmingham","Armardapub Gravellyhill",""
2011,"Birmingham","Armardapub Gravellyhill",""
2011,"Birmingham","road.Badgersbankroad",""
2011,"Birmingham","road.Baldmoorlakeroad Erdington Birmingham ",""
2011,"Birmingham","Bandywoodrd Kingstanding",""
2011,"Birmingham","road.Beckenhamroad",""
2011,"Birmingham","Beecheswalk",""
2011,"Birmingham","Birminghamrd",""
2011,"Birmingham","Birminghamrd",""
2011,"Birmingham","Birminghamrd Sc",""
2011,"Birmingham","road.Birminghamroad",""
2011,"Birmingham","road.Birminghamroad",""
2011,"Birmingham","road.Birminghamroadsutton",""
2011,"Birmingham","road.Birminghamroad Erdington",""
2011,"Birmingham","road.Birminghamroad Suttoncoldfield",""
2011,"Birmingham","road.Birminghamroad Suttoncoldfield",""
2011,"Birmingham","Bowlinggreenclose",""
2011,"Birmingham","road.Bracebridgeroad Erdington",""
2011,"Birmingham","ave.Brassingtonavenue",""
2011,"Birmingham","lane.Bromfordlane",""
2011,"Birmingham","lane.Bromfordlane Erdington B Ham",""
2011,"Birmingham","road.Brookvaleparkroad",""
2011,"Birmingham","road.Carhamptonroad Falconlodge Suttoncolfield",""
2011,"Birmingham","road.Carshaltonroad",""
2011,"Birmingham","road.Carshorltonroad",""
2011,"Birmingham","Chesterrd",""
2011,"Birmingham","road.Chesterroad",""
2011,"Birmingham","road.Chesterroad Hallsgardencentre",""
2011,"Birmingham","Churchrdatchesterrd",""
2011,"Birmingham","road.Collegeroad Kingstanding B Ham",""
2011,"Birmingham","road.Collegeroad Kingstanding B Ham",""
2011,"Birmingham","Copshillcourt Mountview Suttoncoldfield",""
2011,"Birmingham","road.Dovedaleroad Erdington B Ham",""
2011,"Birmingham","road.Downsideroad Erdington B Ham",""
2011,"Birmingham","road.Eachelhurtroad Erdington",""
2011,"Birmingham","road.Erdingtonhallroad",""
2011,"Birmingham","road.Erdingtonhallroad",""
2011,"Birmingham","str.Erdingtonhighstreet",""
